2.461315193	2
3.157913832	2
4.202811791	2
4.852970522	3
5.479909297	2
6.106848073	2
7.221405896	2
7.848344671	2
8.428843537	2
9.636281179	2
10.193560091	2
10.797278912	2
11.981496599	2
12.561995465	2
13.119274376	2
13.653333333	2
14.303492063	2
14.907210884	2
15.766349206	1
15.998548753	1
16.404897959	1
16.660317460	1
17.298866213	2
17.821315193	2
19.040362812	4
19.597641723	4
20.189750567	4
21.350748299	3
22.000907029	3
23.452154195	2
23.684353741	2
24.276462585	2
24.578321995	2
24.938231293	2
25.182040816	2
25.274920635	2
25.391020408	2
25.449070295	2
25.541950113	2
25.658049887	2
25.762539683	2
26.076009070	2
26.656507937	3
27.167346939	3
27.817505669	3
27.898775510	3
28.049705215	3
28.142585034	3
28.398004535	3
29.024943311	4
29.593832200	4
29.895691610	4
30.766439909	3
31.672018141	2
32.833015873	1
33.088435374	1
33.645714286	1
33.994013605	1
34.110113379	1
34.214603175	1
34.330702948	1
34.562902494	1
34.679002268	1
34.795102041	1
34.864761905	1
35.468480726	2
36.037369615	2
37.221587302	1
37.349297052	1
37.430566893	1
37.558276644	1
37.871746032	1
38.696054422	2
39.880272109	3
40.240181406	3
40.762630385	3
41.853968254	3
42.271927438	3
42.562176871	3
43.084625850	3
43.711564626	3
44.048253968	3
44.257233560	3
44.408163265	3
44.872562358	4
45.464671202	5
45.812970522	5
45.975510204	5
46.126439909	5
46.370249433	5
46.463129252	5
46.602448980	5
46.764988662	5
46.869478458	5
46.962358277	5
47.252607710	5
47.612517007	5
47.751836735	5
47.833106576	5
47.937596372	5
48.030476190	5
48.134965986	5
48.812698413	3
48.892517007	3
49.001360544	3
49.088435374	3
49.182766440	3
49.277097506	3
49.567346939	3
50.866213152	1
52.085260771	1
54.610430839	1
55.814965986	1
57.106575964	1
59.588208617	2
60.836281179	2
62.113378685	2
64.609523810	3
65.857596372	3
67.112925170	3
69.594557823	4
70.857142857	4
72.097959184	4
74.615873016	4
75.871201814	4
77.126530612	4
79.600907029	4
80.863492063	4
82.140589569	4
84.585941043	4
85.884807256	4
87.082086168	4
92.081632653	3
92.386394558	3
92.727437642	3
93.010430839	3
93.307936508	3
93.931972789	2
94.273015873	2
94.570521542	2
94.882539683	2
95.223582766	2
95.492063492	2
95.825850340	2
96.442630385	1
96.754648526	1
97.073922902	1
97.378684807	1
97.712471655	1
98.046258503	1
98.329251701	1
98.655782313	1
98.938775510	1
99.279818594	1
99.584580499	1
99.889342404	1
100.223129252	1
100.556916100	1
100.832653061	1
101.151927438	1
101.442176871	1
102.066213152	1
